LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A408,Corectora de Freno Duna y Regata,16534.54,
A409,Patin trasero Sup. Renault 6- R12,11952.34,
A410,Patin freno Fiat Camiones Corto,12862.06,
A411,Valvula Compensadora R 19- 21,31246.84,
A412,Freno de acoplado MONTENEGRO,55604.98,
A413,Freno de acoplado HELVETICA,40985.06,
A414,Freno de acoplado HELVETICA,57541.99,
A415,Freno de Acoplado ROMAPAR,67921.22,
A416,Freno de acoplado HELVETICA,35190.83,
A417,Freno de acoplado GUERRERO,12223.86,
A418,Freno de Acoplado HELVETICA,33822.05,
A419,Freno de acoplado HELVETICA,35669.48,
A420,Freno de acoplado MONTENEGRO,3146.24,
A421,Freno de acoplado HELVETICA MASTER,29057.91,
A500,Seguro perno de patin Montenegro,2258.91,
A998,Res. para cadena nieve autos,46071.10,
A999,Res. para cadena nieve camionetas,50177.45,
A1000,Res. para cadena nieve camiones,102177.13,
A1001,LANZA ACOPLADO 9 X 50 X L 300 CENTRO OJALES,247687.80,
A1002,LANZA ACOPLADO 9 X 50 X L 420 CENTRO OJALES,280714.90,
A1003,LANZA ACOPLADO 9 X 50 X L 520 CENTRO OJALES,317867.93,
D500,"DISPLEY ACEL / FRENO / EMB REDUCIDO.  3 RESORTES C/U, 1 DISPLEY Y 5 CAJONES",1487787.95,
SET500,"ACEL/FRENO/EMBR. REDUCIDO. 5 CAJAS, 3 RESORTES C/U Y 1 DISPLEY. 89 MEDIDAS",5120583.39,
D10,DISPLEY ACELERADOR/ FRENO/ EMBRAGUE COMPLETO.(4),0.00,
SET10,ACEL.-FRENO-EMB. COMPLETO. 18 CAJAS. 2 RESORTES C/U Y 3 DISPLEY. 247 MEDIDAS,16380629.36,
D9,DISPLEY ACELERADOR/ FRENO/ EMB. SIN CAMIONES (3),0.00,
SET9,ACEL.-FRENO-EMB.SIN CAMIONES. 11 CAJAS. 3 RESORTES C/U Y 2 DISPLEY. 181 MEDIDAS,10321992.41,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,,
0,0,,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,,
0,0,,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,0.00,
0,0,,
0,0,,
,0,,
,RESORTES PARA CERRAJERIA Y CARBURACION,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
CER70,CLIPS Nº 70,1123.94,
CER71,CLIPS Nº 71,1123.94,
CER72,CLIPS Nº 72,1123.94,
CER73,CLIPS Nº 73,1123.94,
CER74,CLIPS Nº 74,2023.09,
CER75,CLIPS Nº 75,2837.95,
CER76,CLIPS Nº 76,2023.09,
CER79,CLIPS Nº 79,1798.31,
CER80,CLIPS Nº 80,1348.73,
CER81,CLIPS Nº 81,561.97,
CER82,CLIPS Nº 82,786.76,
CER83,CLIPS Nº 83,561.97,
CER84,CLIPS Nº 84,674.36,
CER85,CLIPS Nº 85,561.97,
CER86,CLIPS Nº 86,2023.09,
CER88,CLIPS Nº 88,3512.32,
CER89,CLIPS Nº 89,1685.91,
CER90,CLIPS Nº 90,1348.73,
CER91,CLIPS Nº 91,2837.95,
D49,DISPLEY CERRAJERIA Y CARBURACION.,consultar,
SET49,"CLIPS CERRAJERIA Y CARBURACION, 1 CAJA Y 100 C/U.",2908198.05,
,,,
,RESORTES PARA CICLOMOTORES,PRECIO UNIT.,
CODIGO,DESCRIPCION,LISTA 1,
CIC600,"EMBRAGUE CENTRIFUGO COMPETICION. ALAMBRE 2,25 MM",4675.29,
CIC601,ARRANQUE ZANELLA KS,5645.15,
CIC602,EMBRAGUE CENTRIFUGO ZANELLA KS,4021.90,
CIC603,EMPUJE CENTRANTE EMBRAGUE ZANELLA,2609.63,
CIC604,PALANQUITA DE CEBADOR ZANELLA. TODOS,7128.16,
CIC605,SEGURO ENGRANAJE CRIQUE ARRANQUE KS ZANELLA,13060.64,
CIC606,SEGURO ARBOL DE ARRANQUE ZANELLA,1621.10,
CIC607,ARRANQU ZANELLA VR,6528.89,
CIC608,PATIN DE FRENO SOL. ZANELLA,5027.28,
CIC609,CORTINA DE CARBURADOR ZANELLA. TODOS,3880.16,
CIC610,"EMBRAGUE CENTRIFUGO COMPETICION. ALAMBRE 2,25 MM",5646.22,
CIC611,EMBRAGUE CENTRIFUGO ZANELLA V.R,7409.41,
CIC612,CABALLETE DUE. ZANELLA,9669.07,
CIC613,CABALLETE ZANELLA (TODOS) FANTI Y JUKY,6526.74,
CIC614,SEGURO PERNO PISTON 12MM. ZANELLA- PUMA Y MELIPAL,1197.12,
CIC615,PATIN DE FRENO ZANELLA. LEGÑANO,8823.83,
CIC616,PALANCA DE EMBRAGUE KS. ZANELLA,10236.10,
CIC617,RETORNO MANIJA GSM DERECHO. MANILLAR ZANELLA,4587.02,
CIC618,RETORNO MANIJA GSM. IZQUIERDO. MANILLAR ZANELLA,4587.02,
CIC619,EXPANSOR DE ARRANQUE ZANELLA,5998.15,
CIC620,PATIN DE FRENO CORTO ZANELLA 180/SAPUCAI,11648.37,
CIC621,PATIN DE FRENO LARGO ZANELLA 180/SAPUCAI,11648.37,
CIC622,SUSPENSION HORQUILLA KS CONO 1 SOLO LADO. ZANELLA,39886.34,
CIC623,SUSPENSION HORQUILLA DUE-FIRE-SOL.GRANDE,61064.22,
CIC624,SUSPENSION HORQILLA DUE-FIRE-SOL. CHICO,61064.22,
CIC625,CABALLETE SAPUCAI.MAS LARGO QUE ZANELLA 180,16591.31,
CIC626,SELECTOR DE CAMBIOS SAPUCAI,8823.83,
CIC627,ARRANQUE SAPUCAI,6528.89,
CIC628,TRABA TANQUE LARGO SAPUCAI,5433.10,
CIC629,LEVA DE FRENO TRASERA GARELLI,8823.83,
CIC630,LEVA DE FRENO DELANTERA GARELLI,8823.83,
CIC631,CRIQUE DESPLAZANTE P/M. GARELLI,16450.30,
CIC632,CABALLETE GARELLI,9159.68,
CIC633,ARRANQUE GARELLI 50,5645.15,
CIC634,SUSPENSION DELANTERA GARELLI 50,64539.31,
CIC635,ARRANQUE DRIBBLING. JUKY,5645.15,
CIC636,ARRANQUE MODELO J2L. JUKY,6526.74,
CIC637,PATIN DE FRENO U FORMA DE OMEGA. JUKY,8823.83,
CIC638,EMBRAGUE CENTRIFUGO JUKY.,8823.83,
CIC639,EMBRAGUE JUKY 80,5433.10,
CIC640,ARRANQUE PUMITA,6528.89,
CIC641,"EMBRAGUE CENTRIFUGO COMPETICION MINARELLI. ALAMBRE 2,50 MM",10236.10,
CIC642,BASE DE SUSPENSION FANTI CONO 50CC,13058.14,
CIC643,SUSPENSION HORQUILLA FANTI DOBLE CONO.,70950.52,
CIC644,SUSPENSION HORQUILLA DRIBBLING LARGA. JUKY,70929.03,
CIC645,SUSPENSION HORQUILLA DRIBBLING CORTA. JUKY,51182.50,
CIC646,RESORTE PARA CONTORNO DE EMBRAGUE DE GOMA.,28590.18,
CIC647,CABALLETE PUMITA/DA-DALT,10236.10,
CIC648,ARRANQUE NUEVO DA-DALT,7756.02,
CIC649,SEGURO CRIQUE DESPLAZANTE P/M. PUMITA/DA-DALT,8823.83,
CIC650,INTERNO DE SUSPENSION DA-DALT,8822.07,
CIC651,SEGURO GOMA DE SUSPENSION DA-DALT,5999.29,
CIC652,SEGURO BARRAL DA-DALT,5999.29,
CIC653,REGISTRO DE AIRE ZANELLA,1762.08,
CIC654,PATIN DE FRENO DA-DALT,10236.10,
CIC655,EMBRAGUE CENTRIFUGO KENIA-JIALING,8823.83,
CIC656,ARRANQUE KENIA-JIALING,37069.23,
CIC657,CRIQUE DESPLAZANTE P/M. KENIA-JIALING,13060.64,
CIC658,VARILLA DE FRENO GILERA,2468.10,
CIC659,CABALLETE DRIBBLING. JUKY,9669.07,
CIC700,Resorte Motosierra Husq 61,5067.38,
CIC701,Resortes de Embrague de STILL 08,22169.93,
CIC702,Resorte Embrague Husq. 45,2869.26,
CIC1902,CABALLETA MULETA ZANELLA SEXI 100CC,7394.34,
SET600,CICLOMOTORES CON  4 CAJAS y 240 resortes,4419139.91,
,,,
,RESORTES PARA MOTOS,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
MOT700,STOP UNIV. HONDA IMPORTADA (MUY LARGO)       (444),8294.23,
MOT701,ARRANQUE CHICO ALAMBRE HONDA 50              (360),37069.23,
MOT702,EMB. CENTRIFUGO HONDA 50                     (362),4587.02,
MOT703,JUEGO SUSPENSION DE HORQUILLA HONDA 50             (363),62115.48,
MOT704,ARRANQUE HONDA DAX 70=ST 70 = CT 70               (400),37069.23,
MOT705,INT. CAB. HONDA CT 70 DAX 70.DRELIM CH 80    (402),8823.83,
MOT706,PATIN FRENO HONDA DAX 70. DAELIN CH 80       (403),8823.83,
MOT707,ARRANQUE HONDA M.G 100                       (370),37069.23,
MOT708,CAMBIO HONDA M.G 100                         (371),25064.93,
MOT709,JUEGO SUSPENSION DE HORQUILLA HONDA M.B 100   (372),106238.15,
MOT710,LEVA DE FRENO HONDA CG TODAY 125             (452),5999.29,
MOT711,PATIN DE FRENO HONDA CG TODAY 125            (453),4144.61,
MOT712,PEDAL DE FRENO HONDA CG TODAY 125            (454),4277.01,
MOT713,PATIN DE FRENO HONDA CG TODAY                (455),4587.02,
MOT714,ARRANQUE HONDA CG 125 MOD. VIEJO             (390),21534.26,
MOT715,JUEGO SUSPENSION HONDA CG TODAY 125           (457),43583.75,
MOT716,ARRANQUE HONDA C 90 ECONO                    (700),21534.26,
MOT717,CABALLETE HONDA C 90 ECONO                   (701),5291.00,
MOT718,LEVA DELANTERA HONDA C 90 ECONO              (703),12495.52,
MOT719,VARIADOR FINO HONDA C 90 ECONO               (705),12495.52,
MOT720,VARIADOR GRUESO HONDA C 90 ECONO             (706),20121.99,
MOT721,MULETA HONDA C 90 ECONO                      (708),7411.56,
MOT722,VARIADOR HONDA LEAD PIAGGIO                  (404),10236.10,
MOT723,ARRANQUE MOD. NUEVO HONDA TAC Y LEAD         (405),25771.07,
MOT724,ARRANQUE HONDA TAC MOD. VIEJO               ( 406),37069.23,
MOT725,EMB. CENTRIFUGO HONDA TAC Y ELITE 80         (409),8470.76,
MOT726,EMB. CENTRIFUGO HONDA ELITE 80             (409/1),8294.23,
MOT727,ARRANQUE HONDA XR 600                        (381),37069.23,
MOT728,ARRANQUE HONDA XR 80                         (383),37069.23,
MOT729,ARRANQUE HONDA XR 100                        (384),37069.23,
MOT730,ARRANQUE HONDA XR 200                        (385),37069.23,
MOT731,ARRANQUE HONDA XR 250                        (386),37069.23,
MOT732,MULETA HONDA XR                              (389),16450.30,
MOT750,ARRANQUE YAMAHA 125 /DT                        (301),37069.23,
MOT751,EMB. YAMAHA 125 /DT                           (302),5434.17,
MOT752,JUEGO SUSPENSION HORQULLA YAMAHA 125 /DT      (303),123923.81,
MOT753,SELECTOR DE CAMBIOS YAMAHA 125 DT               (304),13060.64,
MOT754,ARRANQUE YAMAHA DT 125                       (393),37069.23,
MOT755,PATIN FRENO YAMAHA DT 125-RX 125             (353),6707.58,
MOT756,ARRANQUE YAMAHA JOG Y AXIS 90                (550),37069.23,
MOT757,CABALLETE YAMAHA JOG Y AXIS 90               (551),10942.24,
MOT758,JUEGO SUSPENSION HORQUILLA JOG. YAMAHA        (552),62113.33,
MOT759,PATIN DE FRENO YAMAHA AXIS 90                (556),5027.28,
MOT760,ARRANQUE YAMAHA 80                           (350),34244.69,
MOT761,PATIN FRENO YAMAHA V80-AXIS 90-SIAM 100HERCHE(352),10236.10,
MOT800,ARRANQUE KAWASAKI GTO 110N                   (321),34244.69,
MOT801,EMB. KAWASAKI GTO 110                        (322),5434.17,
MOT802,SELECTOR DE CAMBIOS KAWASAKI GTO 110         (324),16591.31,
MOT803,ARRANQUE KAWASAKI NEO-MAX                    (325),21534.26,
MOT830,ARRANQUE GILERA SMASH,16238.25,
MOT900,ARRANQUE SUZUKI A 60- AE 50                  (580),37069.23,
MOT901,CABALLETE SUZUKI  ADRESS 60 / AE50         (620),10942.24,
MOT902,ZAPATA DE FRENO SUZUKI AD 60                 (583),8823.83,
MOT903,EMB. CENTRIFUGO ADRESS 50                    (584),8823.83,
MOT904,ARRANQUE SUZUKI DR ENDURO 250-350            (341),37069.23,
MOT905,MULETTA SUZUKI DR                            (342),13060.64,
MOT906,JUEGO SUSPENSION SUZUKI AX 100                (343),42280.20,
MOT907,ARRANQUE SUZUKI AX 100                 (344),16232.86,
MOT908,PEDAL DE FRENO SUZUKI AX 100                (34 5),6173.67,
MOT909,ARRANQUE SUZUKI FZ GRANDE                    (330),37077.84,
MOT910,ARRANQUE SUZUKI FA CHICO                     (340),37077.84,
MOT911,PATIN DE FRENO SUZUKI FA                   (340/2),10236.10,
MOT912,ARRANQUE SUZUKY 250 / 350     (341),37069.23,
MOT913,ARRANQUE SUZUKY DR 125      (341/1),37069.23,
MOT914,LEVA FRENO SUZUKY DR 125  (341/2),13060.64,
MOT915,PATIN FRENO SUZUKY AX 100 / DR 125 /TVS/TS185 (349/1),8823.83,
,,,
,RESORTES PARA SCOOTER,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
SCT301,RES. ARRANQUE YAMAHA 125  (125),37069.23,
SCT305,RES. PEDAL FRENO YAMAHA 125  (125),21181.19,
SCT311,RES. SEG CRIQUE YAMAHA  (125),17862.57,
SCT390,RES. ARRANQUE HONDA CG 125  (125),21534.26,
SCT390/1,RES. ARRANQ. EXTER. HONDA CG REFORMA  (125),9176.90,
SCT393,RES. ARRANQUE YAMAHA DT-125  (125),37069.23,
SCT396,RES. PEDAL FRENO HONDA CD-100-SPLENDE (110),4278.09,
SCT453,RES. PATIN FRENO HONDA XR-200CG125  (125),4144.61,
SCT454,RES. PEDAL FRENO HONDA-125-CG TODAY  (125),4277.01,
SCT456,RES. BULBO STOP HONDA CG-125  (125),4038.04,
SCT562,RES. ARRANQUE YAMAHA YBR (125),18879.79,
SCT565,RES. CABALLETA YAMAHA YBR  (125),16591.31,
SCT566,RES. MULETA YAMAHA YBR  (125),15351.27,
SCT569,RES. SELECTOR DE CAMBIO YAMAHA YBR  (125),16591.31,
SCT569/1,RES. PEDAL DE FRENO YAMAHA YBR  (125),10970.22,
SCT650,RES. ARRANQUE YAMAHA RX-100 (100),37069.23,
SCT656,RES. ARRANQUE YAMAHA RZX-135 (135),41306.03,
SCT663,RES. PEDAL FRENO YAMAHA XTZ-125  (125),9176.90,
SCT663/1,RES. MULETA YAMAHA XTZ-125  (125),16238.25,
SCT700,RES. ARRANQUE HONDA C-90 (110),21534.26,
SCT701,RES. MULETA 110 HONDA (110) Y (125)-CG TODAY  (125),5291.00,
SCT708,RES. CABALLETE HONDA C-90 ECONO-POW (110),7411.56,
SCT708/1,RES. PATIN FRENO HONDA C-90 (110),4587.02,
SCT830,RES. PUESTA EN MARCHA GILERA SMASH (110),16238.25,
SCT832/1,RES. PEDAL FRENO + LARGO QUE GILERA SMASH (110),4038.04,
SCT832/F,RES. PEDAL FRENO GILERA SMASH (110),3748.49,
SCT834,RES. PALANCA SELECTOR CAMBIO GILERA SMASH (110),5646.22,
SCT835,RES. BULBO STOP TRAS. = G TRIP GILERA SMASH (110),3880.89,
SCT839,RES. CABALLETE GILERA SMASH (110),6264.09,
SCT842,RES. PEDAL FRENO GILERA FU-110 (110),7321.14,
SCT847,RES. CABALLETE GILERA ESTILO (110) Y HONDA TODAY (125),13060.64,
SCT850,RES. PEDAL FRENO HONDA WAVE (110) Y HONDA STORM (110),7321.14,
SCT875/E,RES. SELECTOR CAMBIO GILERA SMASH (110),7408.33,
SCT878,RES. BRAZO LEVA EMBRAGUE GILERA SMASH (110),4869.04,
SCT885/4,RES. PEDAL FRENO PATAGONIA G ZANELLA (150/250),14296.38,
SCT885/5,RES. PEDAL FRENO ZANELLA RX-150 (150),5021.90,
SCT888,RES. PUESTA EN MARCHA HONDA STORM (110),16238.25,
SCT891,RES. PATIN FRENO CRUZADO TRAS. GILERA SMASH (110),2909.95,
SCT891/1,RES. ZAPATA DELANT. MAZA GRANDE GILERA SMASH (110),2909.95,
SCT891/2,RES. ZAPATA DELANT. MAZA CHICA GILERA SMASH (110),2909.95,
SCT891/3,RES. ZAPATA TRASERA RECTA GILERA SMASH (110),2909.95,
SCT895,RES. PEDAL DE FRENO HONDA STORM (110) = SCT850,7325.45,
SCT910,RES. CENTRIGUFO ZANELLA SEXY ZB / y HONDA BIZ (110),3879.81,
SCT914,RES. EMBRAGUE CENTRIFUGO ZANELLA MINI KID (110),7409.41,
SCT914/1,RES. EMBR CENTRIF VX 150 ZANELLA S 125-M (125),8292.08,
SCT922,RES. EMBRAGUE SIGMA YAMAHA CRYPTON (110),7058.49,
SCT924,RES. CABALLETE YAMAHA CRYPTON (110),10056.34,
SCT999,RES. ARRANQUE YAMAHA CRYPTON (110),3595.82,
SET601,"SET SCOOTER CON  5 RESORTES DE C/U, 3 CAJAS DE MADERA Y EXHIBIDOR",3337435.73,
,,,
,,,
,,,
,RESORTES FERRETERIA,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
F001,"2,25 x 18,00 x L194 x V 72 Exp.",19668.36,
F002,"2,00 x 12,00 x L177 x V 76 Exp.",15638.01,
F003,"1,00 x  8,00 x L162 x V148 Exp.",9371.69,
F004,"1,00 x 13,00 x L190 x V161 Exp.",13940.57,
F005,"1,50 x 12,00 x L170 x V100 Exp.",14996.99,
F006,"1,75 x 12,00 x L149 x V 73 Exp.",13173.44,
F007,"1,00 x 13,00 x L151 x V136 Exp.",11703.47,
F008,"1,25 x  6,90 x L138 x V 99 Exp.",10544.94,
F009,"1,00 x 10,00 x L144 x V120 Exp.",8134.38,
F010,"1,50 x 12,00 x L142 x V 81 Exp.",13068.78,
F011,"1,75 x 12,00 x L117 x V 49 Exp.",8640.41,
F012,"1,00 x 10,00 x L 95 x V 74 Exp.",7579.70,
F013,"1,25 x  6,90 x L 82 x V 53 Exp.",9409.62,
F014,"1,00 x 13,00 x L 95 x V 78 Exp.",8544.56,
F015,"1,75 x 12,00 x L 80 x V 34 Exp.",7358.81,
F016,"1,00 x 13,00 x L 74 x V 54 Exp.",7412.68,
F017,"0,50 x  4,50 x L 36 x V 54 Exp.",2962.31,
F018,"0,50 x  6,00 x L 65 x V107 Exp.",4040.57,
F019,"0,50 x  6,00 x L 81 x V140 Exp.",4596.36,
F020,"0,50 x  6,00 x L 37 x V 50 Exp.",2984.95,
F021,"1,00 x 10,00 x L 70 x V 52 Exp.",5930.19,
F022,"1,00 x  8,00 x L 40 x V 24 Exp.",5066.52,
F023,"0,50 x  4,50 x L 60 x V103 Exp.",4048.35,
F024,"0,50 x  4,50 x L 82 x V146 Exp.",4379.82,
F025,"1,00 x  8,00 x L 72 x V 58 Exp.",7331.99,
F026,"1,25 x 10,00 x L 82 x V 51½ Exp.",7544.35,
F027,"1,75 x 15,00 x L 88 x V 36½ Exp.",10869.97,
F028,"1,50 x 10,00 x L 56 x V 25 Exp.",6887.21,
F029,"2,25 x 10,60 x L 57 x V 17 Exp.",10053.38,
F030,"1,00 x 13,00 x L 50 x V 30 Exp.",5339.59,
F031,"1,50 x 12,00 x L138 x V 42 Exp. c/patas",14894.95,
F032,"1,00 x 10,00 x L160 x V129 Exp. c/patas",14724.66,
F033,"1,75 x 12,00 x L 61 x V 23 Exp.",5770.56,
F034,"1,50 x 12,00 x L 51 x V 20 Exp.",5236.96,
F035,"Comp. 2,75 x 17,00 x L137 x P 7,75 x V 19½",8818.96,
F036,"Comp. 2,75 x 17,00 x L 94 x P 8,75 x V 12½",7058.45,
F037,"Comp. 2,75 x 17,00 x L 64 x P 7,75 x V  9½",4603.46,
F038,"Comp. 1,50 x 22,60 x L175 x P 8,70 x V 25½",6808.23,
F039,"Comp. 1,50 x 17,40 x L 93 x P 7,30 x V 16 ½",3813.12,
F040,"Comp. 1,50 x 17,40 x L 73 x P 7,50 x V 12 ¼",3475.62,
F041,"Comp. 2,00 x 15,00 x L 44 x P 4,40 x V 11",2856.82,
F042,"Comp. 1,00 x 11,70 x L192 x P 4,50 x V 48½",3673.23,
F043,"Comp. 1,00 x 11,70 x L152 x P 4,70 x V 39½",3154.46,
F044,"Comp. 1,00 x 11,70 x L 87 x P 4,70 x V 24",2393.46,
F045,"Comp. 1,00 x 11,70 x L 63 x P 5,00 x V 16¼",1919.76,
F046,"Comp. 1,00 x  7,10 x L102 x P 4,00 x V 31",2758.26,
F047,"Comp. 1,00 x  7,00 x L 50 x P 4,00 x V 15½",1820.61,
F048,"Comp. 1,25 x  7,00 x L148 x P 3,25 x V 50½",3285.01,
F049,"Comp. 1,50 x 25,60 x L262 x P12.50 x V 26",12290.00,
F050,"Comp. 1,75 x 17,70 x L101 x P 6,30 x V 18½",3924.01,
F051,"Comp. 1,25 x  6,80 x L 68 x P 2,60 x V 27½",2031.35,
F052,"Comp. 0,80 x  7,00 x L 16 x P 3,10 x V  6½",855.85,
F053,"Comp. 1,50 x  8,00 x L 50 x P 4,70 x V 13",2024.23,
F054,"Comp. 1,25 x 10,50 x L 12 x P 4,00 x V  4½",1144.41,
F055,"Comp. 0,50 x  6,00 x L 60 x P 3,20 x V 24",921.97,
F056,"Comp. 0,65 x  6,00 x L 37 x P 3,30 x V 14",921.98,
F057,"Comp. 0,50 x  5,70 x L 28 x P 2,20 x V 16½",922.00,
F058,"Comp. 0,50 x  4,50 x L 65 x P 2,20 x V 35½",921.97,
F059,"Comp. 0,50 x  4,50 x L 33 x P 2,00 x V 19½",922.00,
F060,"Comp. 0,50 x  4,50 x L 16 x P 3,30 x V  9½",921.98,
F061,"Conico 1,75 x 19,0/23,8 x L 76 x P 10,60 x V 9 3/4",4313.04,
F062,"Comp. 0,65 x  6,40 x L 24 x P 2,50 x V 12½",921.99,
F063,"Comp. 0,50 x  7,70 x L 10 x P 3,00 x V  5",878.09,
F064,"Comp. 1,50 x 12,90 x L 29 x P 5,30 x V  7¼",1317.09,
F065,"Comp. 2,00 x 13,30 x L 15 x P 3,60 x V  4½",1988.88,
F066,"Comp. 1,00 x  6,50 x L 16 x P 1,70 x V 10",1298.67,
F067,Aro 2.00 x 23 x 1 vuelta,1008.02,
F068,"Comp. 3,00 x 23,00 x L197 x P10,70 x V 21¼",14167.77,
F069,"Comp. 3,00 x 23,00 x L168 X P10,00 x V 19½",13009.51,
F070,"Comp. 3,00 x 23,00 x L115 x P11,00 x V 12½",10700.74,
F071,"Comp. 1,75 x 17,50 x L167 x P 6,50 x V 30",8278.04,
F072,"Comp. 2,00 x 13,60 x L 63 x P 4,00 x V 16½",5527.30,
F073,"Comp. 2,00 x 15,00 x L 26 x P 5,20 x V  6",3678.06,
F074,"Puerta Mosquitero. Traccion.     1,75x17xL346xV 61",27168.46,
F075,"0,80 x 10,00 x L 44 x V 30 Exp.",4666.35,
F076,"3,00 x 17,00 x L 56 x V  8 Cama.",7520.26,
F077,"3,00 x 17,00 x L 63 x V 10 Cama.",7985.18,
F078,"3,00 x 17,00 x L 68 x V 12 Cama.",8545.36,
F079,"3,00 x 17,00 x L 75 x V 14 Cama.",9098.52,
F080,"Comp. 1,00 x 14,40 x L 11 x P 7,20 x V  3¼",945.35,
F081,"3,00 x 17,00 x L 50 x V  6 Cama.",7104.15,
F082,"Comp. 1,75 x 18,50 x L 30 x P 8,30 x V  5½",1536.63,
F083,"Comp. 0,35 x  4,80 x L 16 x P 2,10 x V 11",921.06,
F084,"Comp. 1,25 x  9,00 x L 43 x P 4,80 x V 11¼",1404.85,
F085,"Comp. 1,25 x 11,00 x L 46 x P 5,70 x V 10½",1448.85,
F086,"Comp. 2,50 x 37,30 x L 40 x P17,00 x V  4",5092.80,
F087,"Comp. 2,00 x 34,20 x L 42 x P15,00 x V  5¼",5092.86,
F088,"Comp. 3,25 x 28,40 x L 44 x P 9,50 x V  6",15567.01,
F089,"Comp. 0,80 x  6,80 x L 12 x P 2,50 x V  6",878.24,
F090,"Comp. 1,50 x 12,00 x L155 x P 3,10 x V 51½",7603.08,
F091,"Comp. 0,75 x  8,60 x L 18 x P 2.80 x V  8½",1090.35,
F092,"Biconico 0,80x7/10xL 20.4xP 4,6xV 6½",1214.08,
F093,"0,65 x  6,40 x L 29 x V 25 Exp.",5020.58,
F094,"1,75 x 16,70 x L157 x V 72 Exp.",16545.41,
F095,"Comp. 0,50 x  8,70 x L 33 x P 5,00 x V 10",1467.45,
F096,"Comp. 0,50 x  7,00 x L 70 x P 3,40 x V 28",1759.78,
F097,"Comp. 0,50 x  7,00 x L 86 x P 3,10 x V 35¼",1906.63,
F098,Tijera Multiuso Mediana Reforzado.,11456.55,
F099,Tijera Multiuso Grande.,11922.49,
F100,Tijera Multiuso Chico.,7722.91,
F101,"5,00 x 39,00 x L200 x V 27¼ Exp.(A 051)",75903.59,
F102D,"Puerta Vaiven Derecho Chico.     2,75x17xL50xV10",12433.15,
F102I,"Puerta Vaiven Izquierdo Chico.   2,75x17xL50xV10",12433.15,
F103D,"Puerta Vaiven Derecho Mediano.   2,75x17xL56xV11½",12786.36,
F103I,"Puerta Vaiven Izquierdo Mediano. 2,75x17xL56xV11½",12786.36,
F104D,"Puerta Vaiven Derecho Grande.    2,75x17xV16,5xL86",14108.39,
F104I,"Puerta Vaiven Izquierdo Grande.  2,75x17xV16,5xL86",14108.39,
F105D,"Vaiven Derecho Grueso Corto.     3,00x21xV13,5xL86",14896.04,
F105I,"Vaiven Izquierdo Grueso Corto.   3,00x21xV13,5xL86",14896.04,
F106D,"Vaiven Derecho Grueso Largo.     3,00x21xV15½xL100",15600.10,
F106I,"Vaiven Izquierdo Grueso Largo.   3,00x21xV15½xL100",15600.10,
F107C,"Comp. 0,80 x 9,00 x L 42 x P 4,80 x V 12½ Baño Chi",897.63,
F107G,"Comp. 0,80 x 13,00 x L 66 x P 6,60 x V 13½ Baño Gr",1154.83,
F107M,"Comp. 0,80 x 11,00 x L 45 x P 5.80 x V 12½ Baño Me",1198.13,
F108,Tijera Multiuso Mediana.,3652.80,
F109,"Conico 1,50 X 18,4/13,5 X L 80 X V 12½",4293.88,
F110,"Conico 1,80 X 40,6/23 X L 47 X V 6½",6367.31,
F111,"Comp. 2,50 x 20,50 x L 16 x P 7,30 x V  3  (A 158)",3270.86,
F112,"Conico 2,00 X 26,5/18,5 X L 102 X V 12¼",5575.31,
F113,"1,00 X 12,6 X L 53,5 X V 13¼",4159.27,
F114,"1,00 X 14 X L 58,5 X V 15,5",4375.31,
F115,Cocina Universal Corto.,21284.12,
F116,Cocina Universal Mediano.,22915.86,
F117,Cocina Universal Largo.,24845.95,
F118,"1,00 x 13,00 x L 30 x V  9¼ Exp.(A 113)",6292.12,
F119,"1,75 x 15,00 x L 50 x V 16 Exp. (A 140)",7312.58,
F120,"2,25 x 16,00 x L 63 x V 17 Exp. (A  61)",8860.70,
F121,"2,00 x 16,20 x L 78 x V 25½ Exp.(A 172)",11150.70,
F122,"1,25 x 10,00 x L 74 x V 45 Exp. (A  38)",7624.38,
F123,"1,25 x 11,30 x L172 x V122 Exp. (A  2)",14765.13,
F124,"Comp. 1,25 x  8,00 x L 31 x P 3,00 x V 12½ (A 245)",2808.79,
F125,"Comp. 1,25 x 17,00 x L 67 x P 5,70 x V 15  (A 243)",3902.39,
F126,"Comp. 1,50 x 16,50 x l 40 x P 4,90 x V 10  (A 260)",3648.94,
F127,Conico 2.25X31/36XV4XL36 Rectificado,3193.82,
F128,Conico para pilas 1X16/6XV5½X L15,2546.10,
