LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A364,Patín Freno Renault 11. Superior.,18885.82,
A365,Freno de mano Renault 11.,12909.65,
A366,Pedal Embrague Renault 11.,17060.78,
A367,Acelerador Renault 18 GTL.,17013.19,
A368,Acelerador Renault 18.,17925.71,
A369,Acelerador Renault 11.,18381.97,
A370,Patín Freno superior Renault Trafic.,22989.36,
A371,Patín Freno inferior Renault Trafic.,16078.28,
A372,Porta escobilla bomba agua Peugeot 504 RD derecho.,8279.87,
A373,Porta escobilla bomba agua Peugeot 504 RD izquier.,8279.87,
A374,Selectora caja 5 velocidades Fiat 128.,31703.10,
A375,Palanca cambio Renault Trafic.,19294.50,
A376,Traba varilla palanca cambio Renault l8 y R.Fuego.,8279.87,
A377,Selector caja velocidad GRZ Peugeot 505.,12862.06,
A378,Palanca de Embrague Peugeot 504 GRZ.,11952.34,
A379,Palanca cambio Renault 12.,18381.97,
A380,Soporte pastilla Freno disco Volkswagen gacel.,6888.69,
A381,Acelerador Renault 12. R 4S e Ika Torino.,14709.50,
A382,Crique (gato) Chevrolet- Ford- Dodge- (reforzado).,10104.91,
A383,Bisagra Capot Falcon.,61465.60,
A384,Bisagra capot Fairlane.,58172.80,
A385,"Valvula interior Peugeot modelo 69/77, Ref. Original 812139015.",22830.08,
A386,Seguro patín Freno Renault 18.,4128.74,
A387,Gatillo Registro Derecho Renault 11 y R 9. Trasero,3672.48,
A388,Gatillo Registro Izq. Renault 11 y R 9.Trasero,3672.48,
A389,Leva Patin Trasero Renault 11 y R 9.,11039.82,
A390,Patin superior Ford Taunus.Doble cuerpo Largo 146m,16078.28,
A391,Patin Superior Fiat 147 y Fiorino.,11039.82,
A398,Caja direccion Dodge 1500 y Renault 12. Liviano,8122.24,
A399,Caja direccion Fiat mediano. Largo 18mm.,4128.74,
A400,Caja direccion Fiat largo.,8232.00,
A401,"Caja direccion  Fiat mediano, largo 22mm.",7134.40,
A402,Caja direccion Fiat chico.,4128.74,
A403,Caja direccion extremo importado.,4607.39,
A404,Caja direccion Ford Taunus.,7353.92,
A405,Caja direccion Dodge largo y Peugeot.,9325.21,
A406,"Patin Scania 113 barrilito 4,75",50563.73,
A407,Bomba de freno Universal,5063.65,
